"","НазваПС","substance","lat","lon","valueType","value"
"1","Балка Ташлик, 6 км, Ташлицьке вдсх., став-охолоджувач ПУ АЕС (міст через Ташлицьке вдсх., південь м. Південно-Українськ)","АмонійІониМгДм3",47.807522,31.205753,"mean",0.046
"2","Балка Ташлик, 6 км, Ташлицьке вдсх., став-охолоджувач ПУ АЕС (міст через Ташлицьке вдсх., південь м. Південно-Українськ)","БСК5МгОДм3",47.807522,31.205753,"mean",1.54860465116279
"3","Балка Ташлик, 6 км, Ташлицьке вдсх., став-охолоджувач ПУ АЕС (міст через Ташлицьке вдсх., південь м. Південно-Українськ)","ЗависліРечовиниМгДм3",47.807522,31.205753,"mean",10.253488372093
"4","Балка Ташлик, 6 км, Ташлицьке вдсх., став-охолоджувач ПУ АЕС (міст через Ташлицьке вдсх., південь м. Південно-Українськ)","КисеньРозчиненийМгО2Дм3",47.807522,31.205753,"mean",9.20953488372093
"5","Балка Ташлик, 6 км, Ташлицьке вдсх., став-охолоджувач ПУ АЕС (міст через Ташлицьке вдсх., південь м. Південно-Українськ)","НітратІониМгДм3",47.807522,31.205753,"mean",2.44
"6","Балка Ташлик, 6 км, Ташлицьке вдсх., став-охолоджувач ПУ АЕС (міст через Ташлицьке вдсх., південь м. Південно-Українськ)","НітритІониМгДм3",47.807522,31.205753,"mean",0.0279767441860465
"7","Балка Ташлик, 6 км, Ташлицьке вдсх., став-охолоджувач ПУ АЕС (міст через Ташлицьке вдсх., південь м. Південно-Українськ)","ПерманганатнаОкислюваністьМгОДм3",47.807522,31.205753,"mean",8.02651162790698
"8","Балка Ташлик, 6 км, Ташлицьке вдсх., став-охолоджувач ПУ АЕС (міст через Ташлицьке вдсх., південь м. Південно-Українськ)","СинтетичніПоверхневоАктивніРечовиниМгДм3",47.807522,31.205753,"mean",0.0344418604651163
"9","Балка Ташлик, 6 км, Ташлицьке вдсх., став-охолоджувач ПУ АЕС (міст через Ташлицьке вдсх., південь м. Південно-Українськ)","СульфатІониМгДм3",47.807522,31.205753,"mean",334
"10","Балка Ташлик, 6 км, Ташлицьке вдсх., став-охолоджувач ПУ АЕС (міст через Ташлицьке вдсх., південь м. Південно-Українськ)","ФосфатІониМгДм3",47.807522,31.205753,"mean",9.56837209302325
"11","Балка Ташлик, 6 км, Ташлицьке вдсх., став-охолоджувач ПУ АЕС (міст через Ташлицьке вдсх., південь м. Південно-Українськ)","ХімічнеСпоживанняКиснюМгОДм3",47.807522,31.205753,"mean",27.9206976744186
